    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    7.098656    0.974964    4.230119    6.091504     0.936422     8.728333
    2    0.024675    8.464787    4.304154    6.087167     0.940350     9.122709
    3    2.847226    3.287810    4.253591    6.085958     0.964507     9.127461
    4    4.314601   10.473974    4.384877    6.086481     0.950453     9.086681
    5    2.932468   11.719603    9.963806    6.089002     0.933892     8.982005
    6    4.336580    4.241821    9.856037    6.086399     0.955160     8.997875
    7    7.011667   14.060810   10.043635    6.084546     0.924630     9.319843
    8    8.506342    6.605538    9.862409    6.088550     0.937192     8.915782
    9    5.686719    8.246713    1.460304    5.995718     0.831835     6.875918
   10    1.382324    0.829161    1.223101    5.995739     0.815874     7.035742
   11    4.302553   10.740973    1.484164    6.029864     0.740177     5.889509
   12    8.548408   13.253498    1.649102    5.940665     0.745402     6.280591
   13    2.866832    8.232881    1.414370    6.029642     0.728213     6.087336
   14    5.657757    3.366376    1.454798    6.091020     0.744987     6.180993
   15    7.079787    0.867426    1.395111    6.024869     0.744575     5.856954
   16    5.700064   13.249934    1.851470    6.020589     0.811125     7.137900
   17    4.269815    5.772294    1.488824    6.111872     0.743700     6.287974
   18    1.412031    4.188531    7.065535    6.019102     0.738488     5.904539
   19    0.014415    1.717477    7.033266    6.019328     0.726810     6.057631
   20    5.732730    6.680007    7.050884    6.016385     0.723881     5.985973
   21    1.396192   14.134566    7.008928    5.987633     0.822407     6.921356
   22    4.265902   14.142507    7.119031    5.930425     0.760270     6.250080
   23    2.885266    6.678472    7.041654    5.997668     0.827108     6.888843
   24    7.154350    4.220889    6.844729    6.000841     0.819112     6.994404
   25    4.286438    4.210016    6.995315    6.033795     0.737889     5.854086
   26    4.301714    9.107625    7.425866    6.024200     0.802890     7.139394
   27    0.006107    8.265635    1.379758   11.020887     0.798141     6.583404
   28    2.863962   13.234312    1.552506   11.007322     0.794496     6.688004
   29    8.507620    3.322688    1.404661   11.000183     0.803617     6.722564
   30    1.459525   10.739990    1.492883   11.003086     0.809095     6.651886
   31    4.258026    0.853622    1.404207   10.996374     0.812199     6.731639
   32    7.161702   10.746511    1.540421   10.997330     0.808850     6.734329
   33    7.108475    5.787260    1.474956   11.010066     0.795856     6.665666
   34    2.816518    3.319236    1.346976   11.025124     0.800806     6.528086
